timewindow,received_packets,IAT_Mean,IAT_Std,IAT_Max,IAT_Min,received_addresses,max_pkt_from_sameId,has_attacker
25200,160,0.0061736693958595905,0.0062840130375106445,0.020490884162427392,0.00016306369070662186,16,10,0
25201,160,0.006173602650434426,0.006281404412149098,0.0204908962805348,0.00016309050624840893,16,10,0
25202,160,0.00617367735079218,0.006282380001577069,0.02049092216475401,0.0001631176819500979,16,10,0
25203,150,0.006587979670947233,0.006285158482245551,0.020490965122007765,0.00020216352277202532,15,10,0
25204,130,0.007607730708098312,0.006212600575623149,0.020491024501097854,0.001200583908939734,13,10,0
25205,120,0.008246986295229622,0.006433155001406857,0.021894911049457733,0.0012076151251676492,12,10,0
25206,207,0.004764032586412284,0.0049415349147814485,0.02335776724066818,0.0001630680744710844,21,10,0
25207,320,0.0031192535933652356,0.0027249850033048257,0.01312400166716543,0.0001631889354030136,32,10,0
25208,301,0.003316816805854614,0.0029564747467938483,0.013124003260600148,0.0001633417487028055,31,10,0
25209,300,0.003315357059500913,0.0027313969432118533,0.013124005559802754,0.0001635019107197877,30,10,0
25210,81,0.012342184932913369,0.006280328718489626,0.026579070512525504,0.0026070006970257964,9,10,0
25211,51,0.019695177384346608,0.006731147775232554,0.026579070759908063,0.006541492650285363,6,10,0
25212,39,0.02547420414837114,0.008201493588835958,0.05856081210731645,0.014970260985137429,4,10,0
25213,20,0.048760915442184534,0.02351597562435282,0.07354893023875775,0.026451702127815224,2,10,0
25214,20,0.048760466311872926,0.023516622190186416,0.07355349540011957,0.026438940134539735,2,10,0
25215,23,0.04298812779779837,0.026410489292514456,0.08573344656542758,0.0003840010176645592,2,13,1
25216,62,0.0156383746148318,0.012778665582280864,0.05110589486503159,0.0001630009683140088,2,52,1
25217,217,0.004624921647653672,0.0008157040786685032,0.004875327060290147,0.00016300085189868696,2,207,1
25218,1,0.0,0.0,0.0,0.0,1,1,0
25221,10,0.10000023683622,4.130246929377077e-06,0.10000889288858161,0.09999466299996129,1,10,0
25230,10,0.10000020688635737,5.4046143818978815e-06,0.10001031799401972,0.09999731799689471,1,10,0
25231,10,0.1000000088711709,4.034582169440343e-06,0.1000071768212365,0.09999733092627139,1,10,0
25232,27,0.034615703079348,0.02680910071850899,0.09984291372165899,0.00016006700025172904,3,9,0
25233,31,0.032444239227091505,0.028867061963141143,0.09999748821792309,0.00011728989920811728,3,11,1
25234,67,0.014477263036193714,0.01363775305705029,0.05043859445504495,0.00013825959103996865,5,19,1
25235,213,0.004708792778214012,0.006123115523195065,0.034253650410391856,0.0001513733368483372,6,85,1
25236,232,0.004310232748442407,0.004152122955566923,0.021180252686463064,0.00011677686416078359,8,100,1
25237,260,0.0038043068847239186,0.002861471859795799,0.03548568081896519,0.00016002222400857136,9,183,1
25238,94,0.010594699037771719,0.007113496606767017,0.020484119977481896,0.00013860209946869873,9,13,1
25239,158,0.0063204023926622666,0.00678927075834843,0.0379427277839568,0.00011352351793902926,9,44,1
25240,357,0.002792977319504746,0.0025642824124172087,0.009701805778604466,0.00015227249605231918,9,178,1
25241,255,0.003923179505421096,0.0027428328285699893,0.019377000025997404,0.0001629999933356885,10,170,1
25242,179,0.00553544717558396,0.005023048441000931,0.02244500000961125,0.0001629999933356885,9,105,1
25243,107,0.009428977693631786,0.0068077639773982635,0.022445000013249228,0.00014291821207734756,9,21,1
25244,247,0.00406363775824517,0.004287620570817299,0.02007306473024073,0.0001223526596731972,9,101,1
25245,3,0.0005689969748345902,0.0004130657162022544,0.0009820626910368446,0.0001559312586323358,3,1,1
